Date,Country,AI_projects_fractional_count_based_on_contributions
2011,GBR,0.061480940459119504
2012,GBR,0.06244526108303249
2013,GBR,0.0843394685010267
2014,GBR,0.08087256986409966
2015,GBR,0.08370356563342318
2016,GBR,0.0724850000331565
2017,GBR,0.0670141079390033
2018,GBR,0.0687348468360864
2019,GBR,0.07129241157101296
2020,GBR,0.06213285027789074
2021,GBR,0.0625000632845398
2022,GBR,0.05559281058009229
2023,GBR,0.05064412426529446
2011,GRC,0.01410245303144654
2012,GRC,0.010658414989169675
2013,GRC,0.013025532531827515
2014,GRC,0.0036381722389580975
2015,GRC,0.0043108648712938
2016,GRC,0.0033115959804376656
2017,GRC,0.0024976921851910076
2018,GRC,0.0015255320241423125
2019,GRC,0.002836333442211055
2020,GRC,0.0026829403307577606
2021,GRC,0.004446587264888711
2022,GRC,0.00294934751087673
2023,GRC,0.0017946762630074331
2011,HUN,0.010054573371069183
2012,HUN,0.00007529026187725632
2013,HUN,0.000005376162819301848
2014,HUN,0.0023320181257078143
2015,HUN,0.001482090592991914
2016,HUN,0.0011769339578912466
2017,HUN,0.0014638307094796414
2018,HUN,0.0016137171054637865
2019,HUN,0.0010856783286167682
2020,HUN,0.0011274596093262845
2021,HUN,0.0003278884445558452
2022,HUN,0.0016718647455504286
2023,HUN,0.0035284923933676386
2011,IRL,0.012652032402515724
2012,IRL,0.0073681084368231045
2013,IRL,0.007521268839835729
2014,IRL,0.008573614539071347
2015,IRL,0.004833588708221024
2016,IRL,0.003680747456896552
2017,IRL,0.003915938267567993
2018,IRL,0.004299334217280813
2019,IRL,0.0037825868619412854
2020,IRL,0.00553532871899146
2021,IRL,0.004331970232604772
2022,IRL,0.0027362570290046144
2023,IRL,0.003189508544311035
2011,ITA,0.006654521270440251
2012,ITA,0.014841881729241876
2013,ITA,0.008081793700205338
2014,ITA,0.009456788238958097
2015,ITA,0.011402673766846361
2016,ITA,0.012077057267904508
2017,ITA,0.008808303279358592
2018,ITA,0.008650474635324016
2019,ITA,0.014266195345146787
2020,ITA,0.01609806662599973
2021,ITA,0.015834718187286947
2022,ITA,0.019134792544495714
2023,ITA,0.013317122464265295
2011,JPN,0.0763961293081761
2012,JPN,0.05175403465703971
2013,JPN,0.0367532860164271
2014,JPN,0.038548192253680634
2015,JPN,0.03694533311320755
2016,JPN,0.03116407374668435
2017,JPN,0.030728449944977206
2018,JPN,0.025369230597204577
2019,JPN,0.023751291272150227
2020,JPN,0.016594133319777687
2021,JPN,0.016037482851413674
2022,JPN,0.016252499347396178
2023,JPN,0.02061201201829617
2011,LTU,0.00026205450735849057
2014,LTU,0.0003366900309173273
2015,LTU,0.001758101452830189
2016,LTU,0.0010726269694960211
2017,LTU,0.0006044026939160509
2018,LTU,0.0006386912942820839
2019,LTU,0.0005438648452790268
2020,LTU,0.0011494399925443947
2021,LTU,0.0009753032063364748
2022,LTU,0.0010262178803559657
2023,LTU,0.0021141545328759296
2011,NLD,0.017998124119496854
2012,NLD,0.027619684014440433
2013,NLD,0.033242753901437376
2014,NLD,0.020904240192525483
2015,NLD,0.019935390640161726
2016,NLD,0.017743363342175068
2017,NLD,0.016967132447728347
2018,NLD,0.01297263371029225
2019,NLD,0.013948811663581064
2020,NLD,0.01762078076453843
2021,NLD,0.016498923813916183
2022,NLD,0.014406466479894528
2023,NLD,0.016113026123499144
2011,NOR,0.03797256448427673
2012,NOR,0.018289843379061373
2013,NOR,0.007678954802874743
2014,NOR,0.005702553221970555
2015,NOR,0.007272407196765499
2016,NOR,0.005607028799734748
2017,NOR,0.005849162496462821
2018,NOR,0.0036484951588310038
2019,NOR,0.005860192006083047
2020,NOR,0.0026777282824996607
2021,NOR,0.004411836115901344
2022,NOR,0.0041455131015161505
2023,NOR,0.0004892742315037164
2011,POL,0.00009930486591194968
2012,POL,0.012101342220216606
2013,POL,0.009134736640657084
2014,POL,0.011281074335220838
2015,POL,0.01729620063342318
2016,POL,0.009007187320954907
2017,POL,0.0060064401760729445
2018,POL,0.007740010954256671
2019,POL,0.008352082849775191
2020,POL,0.008785541365053544
2021,POL,0.005920467198716663
2022,POL,0.010586572771918261
2023,POL,0.007656787798742139
2011,PRT,0.00012483591742138366
2012,PRT,0.002407392421299639
2013,PRT,0.00004835670445585216
2014,PRT,0.003453951028312571
2015,PRT,0.0019650625822102427
2016,PRT,0.0022855586293103448
2017,PRT,0.00196127068228266
2018,PRT,0.00328880632909784
2019,PRT,0.002897431261571013
2020,PRT,0.0033378335298901995
2021,PRT,0.0027251075135351914
2022,PRT,0.0023914232396176666
2023,PRT,0.004473851818181818
2011,ROU,0.006789023817610063
2013,ROU,0.005949386271047228
2014,ROU,0.00017562326806342017
2015,ROU,0.0005479307854447439
2016,ROU,0.0012905199718169762
2017,ROU,0.0018596222213488444
2018,ROU,0.0010697239982210927
2019,ROU,0.001336048083840254
2020,ROU,0.0019448480113867426
2021,ROU,0.0024879526228193303
2022,ROU,0.0035310038595912988
2023,ROU,0.0042394926563750724
2011,SWE,0.012087086371069183
2012,SWE,0.031464507927797834
2013,SWE,0.013184522229979467
2014,SWE,0.016338143986409967
2015,SWE,0.00842489929245283
2016,SWE,0.011287201627984085
2017,SWE,0.00847397977204842
2018,SWE,0.006525487351969505
2019,SWE,0.0061437800449616504
2020,SWE,0.006011057545072522
2021,SWE,0.0072864818107078394
2022,SWE,0.006553000791034937
2023,SWE,0.005862095174385363
2011,UKR,0.012863693459119497
2012,UKR,0.007220216606498195
2013,UKR,0.006875323809034908
2014,UKR,0.0011837683272933183
2015,UKR,0.00207448674393531
2016,UKR,0.0032679690699602124
2017,UKR,0.0033783497421789026
2018,UKR,0.0040509629809402795
2019,UKR,0.0024374954522613066
2020,UKR,0.0017593700420225023
2021,UKR,0.0015566233555243632
2022,UKR,0.0004285514347396176
2023,UKR,0.0025215653544882794
,,
2012,HRV,0.000015168522281588449
2014,HRV,0.0011266043790486976
2015,HRV,0.001312725263477089
2016,HRV,0.0009941585974801062
2017,HRV,0.0007942911540638264
2018,HRV,0.00038857408157560357
2019,HRV,0.0007043820040994446
2020,HRV,0.0002056893940626271
2021,HRV,0.0007797194305193503
2022,HRV,0.000007729044030982202
,,
2012,ISL,0.0008359856194945849
2014,ISL,0.00004726066873159682
2015,ISL,0.0006675010760781671
2016,ISL,0.0000013106673318965517
2017,ISL,0.00029695522024838865
2018,ISL,0.0002553725640406607
2019,ISL,0.000007082681306532663
2020,ISL,0.00013882338864036872
2021,ISL,0.000052644679827551633
2022,ISL,0.000006103664640738299
,,
2012,MNE,0.00020928164075812274
2013,MNE,0.002253420525667351
2014,MNE,0.0032817299943374858
2015,MNE,0.00005861091307951483
2016,MNE,0.0004297001647877984
2017,MNE,0.0017120972189907245
2018,MNE,0.0008678909409148666
2019,MNE,0.0001865389906109495
2020,MNE,0.0006856928701369121
2021,MNE,0.0002854059504712252
2022,MNE,0.0009346911354647329
2023,MNE,0.0029082979702687254
2011,SRB,0.006289308176100629
2012,SRB,0.00024067388689530685
2014,SRB,0.000923395845979615
2015,SRB,0.0020785041738544474
2016,SRB,0.001297631351790451
2017,SRB,0.002684760380443326
2018,SRB,0.000734653790343075
2019,SRB,0.0014860240359693203
2020,SRB,0.0016338446644977632
2021,SRB,0.0010517545700822137
2022,SRB,0.0006672347541199737
2023,SRB,0.000002381209106346484
,,
2012,SVN,0.000006710238480144404
2013,SVN,0.004106776180698152
2014,SVN,0.002371549785956965
2015,SVN,0.0004813246053234501
2016,SVN,0.000699227774535809
2017,SVN,0.0008859749331866059
2018,SVN,0.0005128301843710292
2019,SVN,0.0007754333471303887
2020,SVN,0.0016807104893588178
2021,SVN,0.0006303865107278925
2022,SVN,0.0005059271407382994
2023,SVN,0.0014144220806174958
,,
2012,LUX,0.0036101083032490976
2013,LUX,0.00007333528893223819
2014,LUX,0.0011680957270668178
2015,LUX,0.0013315618834231807
2016,LUX,0.0009435571571618037
2017,LUX,0.0004964131826756799
2018,LUX,0.000040908682655654385
2019,LUX,0.0007000164650886009
2020,LUX,0.0005379129061949302
2021,LUX,0.0005283035347904551
2022,LUX,0.0003295978905735003
2023,LUX,0.0011523749033733562
,,
2012,LVA,0.007220216606498195
2013,LVA,0.000822304779671458
2014,LVA,0.00014156285390713478
2015,LVA,4.7421143382749324e-7
2016,LVA,0.0006644915218832892
2017,LVA,0.00015720798616569723
2018,LVA,0.000004908523517153748
2019,LVA,0.0001322401481089659
2020,LVA,0.00013555645926528398
2021,LVA,0.0000010492209346300381
2023,LVA,6.23642330474557e-8
,,
2014,EST,0.0011330046828992072
2015,EST,0.000012676947041778976
2016,EST,0.0013826369857427056
2017,EST,0.0003437870077031913
2018,EST,0.0004873836753494282
2019,EST,0.0004635713036233801
2020,EST,0.0004888025656771045
2021,EST,0.00020404834830559457
2022,EST,0.0009980079258404746
2023,EST,0.0021466528341909665
,,
2014,GEO,0.0011684464790486977
2016,GEO,0.00031176642155172413
2017,GEO,0.0001604877434365666
2018,GEO,0.0006534362397712834
2019,GEO,0.0005153113069293838
2020,GEO,0.00006782032999864444
2021,GEO,0.0008604180824142772
2022,GEO,1.5385770365853657e-7
2023,GEO,0.00028211244505431675
,,
2014,LIE,0.0011261759997734993
2015,LIE,0.0002246181491239892
2016,LIE,0.000010047423839522546
2017,LIE,0.000011243029283131583
2019,LIE,2.3291967958212114e-7
2020,LIE,5.471285696082419e-7
,,
2014,SVK,0.00006540890650056624
2016,SVK,0.0003598622679045093
2017,SVK,0.00018161279264266623
2018,SVK,0.000272757040660737
2019,SVK,0.00009840616986247025
2020,SVK,0.0012370734932899553
2021,SVK,0.00028652380589532786
2022,SVK,0.0013104074469347396
2023,SVK,0.0012235928564894225
,,
2015,AND,0.00001821228236522911
2017,AND,0.0000015116152515327778
2018,AND,0.0000021177467179161373
2020,AND,0.0000271112918530568
2023,AND,0.000012705673081761008
,,
2015,MLT,0.0006474862299191375
2016,MLT,0.0006636237042440318
2017,MLT,0.00015720798616569723
2018,MLT,0.00012550572570520964
2019,MLT,0.000028855165961385877
2020,MLT,0.0002708717149247662
2021,MLT,0.00008593772380188491
2023,MLT,0.0000037615479519725563
,,
2017,MKD,0.000275260079861657
2018,MKD,0.00016499046327827192
2019,MKD,0.00008665427922507274
2020,MKD,0.0002717053307577606
2021,MKD,0.0000355613421896932
2022,MKD,0.0001983621172050099
,,
2018,BIH,2.419491925031766e-8
2021,BIH,0.000005059139344295168
