Country destination,Country destination_label,Country source,Country source_label,Sum_of_deals,year
Robots, sensors and IT hardware,Robots, sensors and IT hardware,EU27,EU27,753.7583223571428,2018
Mobility and autonomous vehicles,Mobility and autonomous vehicles,EU27,EU27,1827.5478464999999,2018
Media, social platforms and marketing,Media, social platforms and marketing,EU27,EU27,1320.5654138333334,2018
Logistics, wholesale and retail,Logistics, wholesale and retail,EU27,EU27,335.72456966666664,2018
IT infrastructure and hosting,IT infrastructure and hosting,EU27,EU27,876.498838,2018
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,EU27,EU27,696.485717,2018
Financial and insurance services,Financial and insurance services,EU27,EU27,965.25474975,2018
Digital security,Digital security,EU27,EU27,395.387457,2018
Business processes and support services,Business processes and support services,EU27,EU27,1202.1192995,2018
Other,Other,EU27,EU27,5984.968161183333,2019
Mobility and autonomous vehicles,Mobility and autonomous vehicles,EU27,EU27,3474.9793555,2019
Media, social platforms and marketing,Media, social platforms and marketing,EU27,EU27,1602.0326693,2019
Logistics, wholesale and retail,Logistics, wholesale and retail,EU27,EU27,503.66388758333335,2019
IT infrastructure and hosting,IT infrastructure and hosting,EU27,EU27,958.8521609999999,2019
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,EU27,EU27,2206.2247261666666,2019
Financial and insurance services,Financial and insurance services,EU27,EU27,1885.1357070666668,2019
Digital security,Digital security,EU27,EU27,517.362497,2019
Robots, sensors and IT hardware,Robots, sensors and IT hardware,EU27,EU27,500.94443866666666,2019
Business processes and support services,Business processes and support services,EU27,EU27,1165.7184335238096,2019
Business processes and support services,Business processes and support services,EU27,EU27,1177.25266105,2020
Digital security,Digital security,EU27,EU27,538.3281516666666,2020
Financial and insurance services,Financial and insurance services,EU27,EU27,2438.297735166667,2020
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,EU27,EU27,3811.0442229166665,2020
IT infrastructure and hosting,IT infrastructure and hosting,EU27,EU27,1147.7912918333332,2020
Logistics, wholesale and retail,Logistics, wholesale and retail,EU27,EU27,874.3493168095238,2020
Media, social platforms and marketing,Media, social platforms and marketing,EU27,EU27,965.6458060166667,2020
Mobility and autonomous vehicles,Mobility and autonomous vehicles,EU27,EU27,6404.8064810000005,2020
Other,Other,EU27,EU27,6652.021843497619,2020
Robots, sensors and IT hardware,Robots, sensors and IT hardware,EU27,EU27,1070.1908298333333,2020
Business processes and support services,Business processes and support services,EU27,EU27,4588.1253915,2021
Digital security,Digital security,EU27,EU27,1616.8563657857144,2021
Financial and insurance services,Financial and insurance services,EU27,EU27,6059.207242980086,2021
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,EU27,EU27,3531.119879602381,2021
IT infrastructure and hosting,IT infrastructure and hosting,EU27,EU27,2820.1433546848484,2021
Logistics, wholesale and retail,Logistics, wholesale and retail,EU27,EU27,2086.8658717142857,2021
Media, social platforms and marketing,Media, social platforms and marketing,EU27,EU27,4425.625831583334,2021
Mobility and autonomous vehicles,Mobility and autonomous vehicles,EU27,EU27,2245.463659,2021
Other,Other,EU27,EU27,10682.691254733334,2021
Robots, sensors and IT hardware,Robots, sensors and IT hardware,EU27,EU27,1350.9985815,2021
Business processes and support services,Business processes and support services,EU27,EU27,4186.74143215,2022
Digital security,Digital security,EU27,EU27,1679.6072291333332,2022
Financial and insurance services,Financial and insurance services,EU27,EU27,2680.7482758809524,2022
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,EU27,EU27,4124.91624425,2022
IT infrastructure and hosting,IT infrastructure and hosting,EU27,EU27,4444.883244354762,2022
Logistics, wholesale and retail,Logistics, wholesale and retail,EU27,EU27,1394.6256196071429,2022
Media, social platforms and marketing,Media, social platforms and marketing,EU27,EU27,3423.029556657143,2022
Mobility and autonomous vehicles,Mobility and autonomous vehicles,EU27,EU27,1236.4786745000001,2022
Other,Other,EU27,EU27,9558.773775175,2022
Robots, sensors and IT hardware,Robots, sensors and IT hardware,EU27,EU27,1248.60441,2022
Business processes and support services,Business processes and support services,EU27,EU27,2772.92238345,2023
Digital security,Digital security,EU27,EU27,550.0674925000001,2023
Financial and insurance services,Financial and insurance services,EU27,EU27,1248.1340307583332,2023
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,EU27,EU27,2605.9853608,2023
IT infrastructure and hosting,IT infrastructure and hosting,EU27,EU27,3593.0619271833334,2023
Logistics, wholesale and retail,Logistics, wholesale and retail,EU27,EU27,275.5724561,2023
Media, social platforms and marketing,Media, social platforms and marketing,EU27,EU27,1548.4270648166666,2023
Mobility and autonomous vehicles,Mobility and autonomous vehicles,EU27,EU27,3327.1657377,2023
Other,Other,EU27,EU27,3218.0698829000003,2023
Robots, sensors and IT hardware,Robots, sensors and IT hardware,EU27,EU27,1611.5919933833334,2023
Business processes and support services,Business processes and support services,EU27,EU27,4269.000078030469,2024
Digital security,Digital security,EU27,EU27,876.4039766357142,2024
Financial and insurance services,Financial and insurance services,EU27,EU27,1403.889107409424,2024
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,EU27,EU27,3891.606449783333,2024
IT infrastructure and hosting,IT infrastructure and hosting,EU27,EU27,9509.705977039286,2024
Logistics, wholesale and retail,Logistics, wholesale and retail,EU27,EU27,371.7465314,2024
Media, social platforms and marketing,Media, social platforms and marketing,EU27,EU27,2397.0955026666666,2024
Mobility and autonomous vehicles,Mobility and autonomous vehicles,EU27,EU27,1385.76156175,2024
Other,Other,EU27,EU27,3900.3003762071426,2024
Robots, sensors and IT hardware,Robots, sensors and IT hardware,EU27,EU27,1961.7032928357141,2024
Business processes and support services,Business processes and support services,EU27,EU27,4431.879098380952,2025
Digital security,Digital security,EU27,EU27,1072.9583265166666,2025
Financial and insurance services,Financial and insurance services,EU27,EU27,1118.0841828333332,2025
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,EU27,EU27,3700.214631783333,2025
IT infrastructure and hosting,IT infrastructure and hosting,EU27,EU27,6263.4496021423165,2025
Logistics, wholesale and retail,Logistics, wholesale and retail,EU27,EU27,460.5541093,2025
Media, social platforms and marketing,Media, social platforms and marketing,EU27,EU27,1139.9923074666667,2025
Mobility and autonomous vehicles,Mobility and autonomous vehicles,EU27,EU27,463.2133194285714,2025
Other,Other,EU27,EU27,2627.54821735,2025
Robots, sensors and IT hardware,Robots, sensors and IT hardware,EU27,EU27,3579.655819321429,2025
Business processes and support services,Business processes and support services,GBR,United Kingdom,39.750034,2012
Digital security,Digital security,GBR,United Kingdom,9.094014,2012
Financial and insurance services,Financial and insurance services,GBR,United Kingdom,10.611503666666666,2012
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,GBR,United Kingdom,173.739735,2012
IT infrastructure and hosting,IT infrastructure and hosting,GBR,United Kingdom,60.3312235,2012
Media, social platforms and marketing,Media, social platforms and marketing,GBR,United Kingdom,84.4569915,2012
Other,Other,GBR,United Kingdom,69.56218,2012
Media, social platforms and marketing,Media, social platforms and marketing,GBR,United Kingdom,77.194969,2013
Digital security,Digital security,GBR,United Kingdom,38.37147583333333,2013
Financial and insurance services,Financial and insurance services,GBR,United Kingdom,77.4684595,2013
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,GBR,United Kingdom,12.191783,2013
IT infrastructure and hosting,IT infrastructure and hosting,GBR,United Kingdom,41.18386916666667,2013
Logistics, wholesale and retail,Logistics, wholesale and retail,GBR,United Kingdom,0.206564,2013
Business processes and support services,Business processes and support services,GBR,United Kingdom,53.436501500000006,2013
Other,Other,GBR,United Kingdom,60.691711166666664,2013
Robots, sensors and IT hardware,Robots, sensors and IT hardware,GBR,United Kingdom,5.02,2013
Business processes and support services,Business processes and support services,GBR,United Kingdom,36.926421833333336,2014
Digital security,Digital security,GBR,United Kingdom,202.460226,2014
Financial and insurance services,Financial and insurance services,GBR,United Kingdom,362.68250666666665,2014
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,GBR,United Kingdom,72.07591866666667,2014
IT infrastructure and hosting,IT infrastructure and hosting,GBR,United Kingdom,199.37212466666668,2014
Logistics, wholesale and retail,Logistics, wholesale and retail,GBR,United Kingdom,0.15,2014
Media, social platforms and marketing,Media, social platforms and marketing,GBR,United Kingdom,330.4586295,2014
Mobility and autonomous vehicles,Mobility and autonomous vehicles,GBR,United Kingdom,5.03,2014
Other,Other,GBR,United Kingdom,91.350507,2014
Robots, sensors and IT hardware,Robots, sensors and IT hardware,GBR,United Kingdom,12.339416,2014
Mobility and autonomous vehicles,Mobility and autonomous vehicles,GBR,United Kingdom,13.634306,2015
Digital security,Digital security,GBR,United Kingdom,98.28882200000001,2015
Financial and insurance services,Financial and insurance services,GBR,United Kingdom,103.74025716666668,2015
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,GBR,United Kingdom,126.924364,2015
IT infrastructure and hosting,IT infrastructure and hosting,GBR,United Kingdom,87.39279566666667,2015
Logistics, wholesale and retail,Logistics, wholesale and retail,GBR,United Kingdom,4.4154225,2015
Media, social platforms and marketing,Media, social platforms and marketing,GBR,United Kingdom,572.9383736666666,2015
Business processes and support services,Business processes and support services,GBR,United Kingdom,218.90679749999998,2015
Other,Other,GBR,United Kingdom,105.86070199999999,2015
Robots, sensors and IT hardware,Robots, sensors and IT hardware,GBR,United Kingdom,3.255916666666667,2015
Business processes and support services,Business processes and support services,GBR,United Kingdom,190.09203416666668,2016
Digital security,Digital security,GBR,United Kingdom,40.531940666666664,2016
Financial and insurance services,Financial and insurance services,GBR,United Kingdom,151.95272166666666,2016
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,GBR,United Kingdom,48.838213999999994,2016
IT infrastructure and hosting,IT infrastructure and hosting,GBR,United Kingdom,172.81752266666666,2016
Logistics, wholesale and retail,Logistics, wholesale and retail,GBR,United Kingdom,71.11109733333333,2016
Media, social platforms and marketing,Media, social platforms and marketing,GBR,United Kingdom,281.14795216666664,2016
Mobility and autonomous vehicles,Mobility and autonomous vehicles,GBR,United Kingdom,33.08152716666667,2016
Other,Other,GBR,United Kingdom,215.93416071666667,2016
Robots, sensors and IT hardware,Robots, sensors and IT hardware,GBR,United Kingdom,33.26332,2016
Business processes and support services,Business processes and support services,GBR,United Kingdom,252.98875366666664,2017
Digital security,Digital security,GBR,United Kingdom,55.37174133333333,2017
Financial and insurance services,Financial and insurance services,GBR,United Kingdom,179.52049166666666,2017
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,GBR,United Kingdom,1263.8421345000002,2017
IT infrastructure and hosting,IT infrastructure and hosting,GBR,United Kingdom,157.22524249999998,2017
Logistics, wholesale and retail,Logistics, wholesale and retail,GBR,United Kingdom,68.010808,2017
Media, social platforms and marketing,Media, social platforms and marketing,GBR,United Kingdom,281.5630293333333,2017
Mobility and autonomous vehicles,Mobility and autonomous vehicles,GBR,United Kingdom,712.7196068571428,2017
Other,Other,GBR,United Kingdom,579.3987979999999,2017
Robots, sensors and IT hardware,Robots, sensors and IT hardware,GBR,United Kingdom,45.361499,2017
Business processes and support services,Business processes and support services,GBR,United Kingdom,690.1759728333334,2018
Digital security,Digital security,GBR,United Kingdom,140.47029866666665,2018
Financial and insurance services,Financial and insurance services,GBR,United Kingdom,607.0833609444444,2018
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,GBR,United Kingdom,548.1131044166666,2018
IT infrastructure and hosting,IT infrastructure and hosting,GBR,United Kingdom,911.9383916666667,2018
Logistics, wholesale and retail,Logistics, wholesale and retail,GBR,United Kingdom,681.5413346666667,2018
Media, social platforms and marketing,Media, social platforms and marketing,GBR,United Kingdom,1736.6261789999999,2018
Mobility and autonomous vehicles,Mobility and autonomous vehicles,GBR,United Kingdom,1349.4373561666666,2018
Other,Other,GBR,United Kingdom,754.6589575595237,2018
Robots, sensors and IT hardware,Robots, sensors and IT hardware,GBR,United Kingdom,76.3615250952381,2018
Digital security,Digital security,GBR,United Kingdom,104.18840399999999,2019
Financial and insurance services,Financial and insurance services,GBR,United Kingdom,948.9971670238094,2019
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,GBR,United Kingdom,440.57290466666666,2019
Business processes and support services,Business processes and support services,GBR,United Kingdom,1024.2447325595238,2019
IT infrastructure and hosting,IT infrastructure and hosting,GBR,United Kingdom,548.2712423333332,2019
Logistics, wholesale and retail,Logistics, wholesale and retail,GBR,United Kingdom,333.7438001666667,2019
Media, social platforms and marketing,Media, social platforms and marketing,GBR,United Kingdom,726.9806812333334,2019
Mobility and autonomous vehicles,Mobility and autonomous vehicles,GBR,United Kingdom,1974.1669348333332,2019
Other,Other,GBR,United Kingdom,1080.0382667833333,2019
Robots, sensors and IT hardware,Robots, sensors and IT hardware,GBR,United Kingdom,92.96419300000001,2019
Logistics, wholesale and retail,Logistics, wholesale and retail,GBR,United Kingdom,323.03644020238096,2020
Digital security,Digital security,GBR,United Kingdom,273.34936366666665,2020
Financial and insurance services,Financial and insurance services,GBR,United Kingdom,396.9864735,2020
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,GBR,United Kingdom,1118.18068725,2020
IT infrastructure and hosting,IT infrastructure and hosting,GBR,United Kingdom,435.53345666666667,2020
Business processes and support services,Business processes and support services,GBR,United Kingdom,785.2100092666667,2020
Media, social platforms and marketing,Media, social platforms and marketing,GBR,United Kingdom,528.3734596666667,2020
Mobility and autonomous vehicles,Mobility and autonomous vehicles,GBR,United Kingdom,1750.134756,2020
Other,Other,GBR,United Kingdom,1454.3103777833335,2020
Robots, sensors and IT hardware,Robots, sensors and IT hardware,GBR,United Kingdom,306.826327,2020
Business processes and support services,Business processes and support services,GBR,United Kingdom,3239.407838416667,2021
Digital security,Digital security,GBR,United Kingdom,1198.6053089166667,2021
Financial and insurance services,Financial and insurance services,GBR,United Kingdom,2753.146026979004,2021
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,GBR,United Kingdom,2780.1093752642855,2021
IT infrastructure and hosting,IT infrastructure and hosting,GBR,United Kingdom,1882.3556300075757,2021
Logistics, wholesale and retail,Logistics, wholesale and retail,GBR,United Kingdom,753.0921636666667,2021
Media, social platforms and marketing,Media, social platforms and marketing,GBR,United Kingdom,1687.0712680833333,2021
Mobility and autonomous vehicles,Mobility and autonomous vehicles,GBR,United Kingdom,1721.5310148333333,2021
Other,Other,GBR,United Kingdom,4292.129528528571,2021
Robots, sensors and IT hardware,Robots, sensors and IT hardware,GBR,United Kingdom,1005.3580336666666,2021
Logistics, wholesale and retail,Logistics, wholesale and retail,GBR,United Kingdom,1596.995678845238,2022
Digital security,Digital security,GBR,United Kingdom,375.6154140333333,2022
Financial and insurance services,Financial and insurance services,GBR,United Kingdom,956.582199547619,2022
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,GBR,United Kingdom,851.0644463333333,2022
IT infrastructure and hosting,IT infrastructure and hosting,GBR,United Kingdom,1497.095659547619,2022
Business processes and support services,Business processes and support services,GBR,United Kingdom,1482.6072769166667,2022
Media, social platforms and marketing,Media, social platforms and marketing,GBR,United Kingdom,1255.6141867833335,2022
Mobility and autonomous vehicles,Mobility and autonomous vehicles,GBR,United Kingdom,279.5010055,2022
Other,Other,GBR,United Kingdom,2889.5330917944443,2022
Robots, sensors and IT hardware,Robots, sensors and IT hardware,GBR,United Kingdom,244.60099508333332,2022
Business processes and support services,Business processes and support services,GBR,United Kingdom,340.9698712666667,2023
Digital security,Digital security,GBR,United Kingdom,459.34098566666665,2023
Financial and insurance services,Financial and insurance services,GBR,United Kingdom,3375.9967056666665,2023
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,GBR,United Kingdom,840.62027775,2023
IT infrastructure and hosting,IT infrastructure and hosting,GBR,United Kingdom,798.9854393277777,2023
Logistics, wholesale and retail,Logistics, wholesale and retail,GBR,United Kingdom,162.93764023333333,2023
Media, social platforms and marketing,Media, social platforms and marketing,GBR,United Kingdom,347.22212238888886,2023
Mobility and autonomous vehicles,Mobility and autonomous vehicles,GBR,United Kingdom,647.3693968666666,2023
Other,Other,GBR,United Kingdom,821.2515338000001,2023
Robots, sensors and IT hardware,Robots, sensors and IT hardware,GBR,United Kingdom,199.23139233333333,2023
Business processes and support services,Business processes and support services,GBR,United Kingdom,1178.8470174907925,2024
Digital security,Digital security,GBR,United Kingdom,273.57081188095236,2024
Financial and insurance services,Financial and insurance services,GBR,United Kingdom,612.6781637720612,2024
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,GBR,United Kingdom,817.0803508500001,2024
IT infrastructure and hosting,IT infrastructure and hosting,GBR,United Kingdom,1734.6648572595236,2024
Logistics, wholesale and retail,Logistics, wholesale and retail,GBR,United Kingdom,129.064505,2024
Media, social platforms and marketing,Media, social platforms and marketing,GBR,United Kingdom,2826.650887154762,2024
Mobility and autonomous vehicles,Mobility and autonomous vehicles,GBR,United Kingdom,175.7658979166667,2024
Other,Other,GBR,United Kingdom,1953.1453090738096,2024
Robots, sensors and IT hardware,Robots, sensors and IT hardware,GBR,United Kingdom,427.981598952381,2024
Business processes and support services,Business processes and support services,GBR,United Kingdom,1047.90433745,2025
Digital security,Digital security,GBR,United Kingdom,347.74337906666665,2025
Financial and insurance services,Financial and insurance services,GBR,United Kingdom,713.8276695714286,2025
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,GBR,United Kingdom,825.6049296833332,2025
IT infrastructure and hosting,IT infrastructure and hosting,GBR,United Kingdom,4903.684713906061,2025
Logistics, wholesale and retail,Logistics, wholesale and retail,GBR,United Kingdom,64.91689283333334,2025
Media, social platforms and marketing,Media, social platforms and marketing,GBR,United Kingdom,5449.466885842858,2025
Mobility and autonomous vehicles,Mobility and autonomous vehicles,GBR,United Kingdom,114.06117333333333,2025
Other,Other,GBR,United Kingdom,906.4288100333333,2025
Robots, sensors and IT hardware,Robots, sensors and IT hardware,GBR,United Kingdom,626.1592494285715,2025
Business processes and support services,Business processes and support services,SGP,Singapore,30,2012
Digital security,Digital security,SGP,Singapore,0.239469,2012
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,SGP,Singapore,6.493333333333333,2012
IT infrastructure and hosting,IT infrastructure and hosting,SGP,Singapore,2.01,2012
Logistics, wholesale and retail,Logistics, wholesale and retail,SGP,Singapore,0.33,2012
Media, social platforms and marketing,Media, social platforms and marketing,SGP,Singapore,2.7,2012
Robots, sensors and IT hardware,Robots, sensors and IT hardware,SGP,Singapore,0.467476,2012
Business processes and support services,Business processes and support services,SGP,Singapore,11.394023666666666,2013
Financial and insurance services,Financial and insurance services,SGP,Singapore,28.638312499999998,2013
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,SGP,Singapore,4,2013
IT infrastructure and hosting,IT infrastructure and hosting,SGP,Singapore,163.5,2013
Media, social platforms and marketing,Media, social platforms and marketing,SGP,Singapore,15.875613000000001,2013
Other,Other,SGP,Singapore,10.7,2013
Robots, sensors and IT hardware,Robots, sensors and IT hardware,SGP,Singapore,0.81,2013
Business processes and support services,Business processes and support services,SGP,Singapore,36.074204,2014
Digital security,Digital security,SGP,Singapore,2.797672,2014
Financial and insurance services,Financial and insurance services,SGP,Singapore,272.7376443333333,2014
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,SGP,Singapore,18.666666666666664,2014
IT infrastructure and hosting,IT infrastructure and hosting,SGP,Singapore,250.51421208333335,2014
Logistics, wholesale and retail,Logistics, wholesale and retail,SGP,Singapore,44,2014
Media, social platforms and marketing,Media, social platforms and marketing,SGP,Singapore,20.029542,2014
Other,Other,SGP,Singapore,76.16619466666666,2014
Robots, sensors and IT hardware,Robots, sensors and IT hardware,SGP,Singapore,0.4666666666666666,2014
Other,Other,SGP,Singapore,79.282133,2015
Digital security,Digital security,SGP,Singapore,57.2930415,2015
Financial and insurance services,Financial and insurance services,SGP,Singapore,325.08091683333333,2015
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,SGP,Singapore,157.420676,2015
IT infrastructure and hosting,IT infrastructure and hosting,SGP,Singapore,2057.405071,2015
Logistics, wholesale and retail,Logistics, wholesale and retail,SGP,Singapore,1.6666666666666665,2015
Media, social platforms and marketing,Media, social platforms and marketing,SGP,Singapore,34.486998666666665,2015
Mobility and autonomous vehicles,Mobility and autonomous vehicles,SGP,Singapore,1272.6622561666666,2015
Business processes and support services,Business processes and support services,SGP,Singapore,109.91998066666667,2015
Robots, sensors and IT hardware,Robots, sensors and IT hardware,SGP,Singapore,1.2667483333333334,2015
Business processes and support services,Business processes and support services,SGP,Singapore,36.89226733333333,2016
Digital security,Digital security,SGP,Singapore,68.33333333333333,2016
Financial and insurance services,Financial and insurance services,SGP,Singapore,74.33400208333333,2016
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,SGP,Singapore,36.79441466666667,2016
IT infrastructure and hosting,IT infrastructure and hosting,SGP,Singapore,57.46095933333333,2016
Logistics, wholesale and retail,Logistics, wholesale and retail,SGP,Singapore,926.003512,2016
Media, social platforms and marketing,Media, social platforms and marketing,SGP,Singapore,318.1608776666667,2016
Mobility and autonomous vehicles,Mobility and autonomous vehicles,SGP,Singapore,33.33333333333333,2016
Other,Other,SGP,Singapore,101.73907883333334,2016
Robots, sensors and IT hardware,Robots, sensors and IT hardware,SGP,Singapore,2.36229,2016
Business processes and support services,Business processes and support services,SGP,Singapore,390.1610631666667,2017
Digital security,Digital security,SGP,Singapore,27.703333333333333,2017
Financial and insurance services,Financial and insurance services,SGP,Singapore,343.6852125,2017
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,SGP,Singapore,1635.4239346666668,2017
IT infrastructure and hosting,IT infrastructure and hosting,SGP,Singapore,7.057288,2017
Logistics, wholesale and retail,Logistics, wholesale and retail,SGP,Singapore,327.15079316666663,2017
Media, social platforms and marketing,Media, social platforms and marketing,SGP,Singapore,556.3473224642858,2017
Mobility and autonomous vehicles,Mobility and autonomous vehicles,SGP,Singapore,511.36428571428576,2017
Other,Other,SGP,Singapore,252.0831825,2017
Robots, sensors and IT hardware,Robots, sensors and IT hardware,SGP,Singapore,78.79333333333332,2017
Business processes and support services,Business processes and support services,SGP,Singapore,196.49572183333333,2018
Digital security,Digital security,SGP,Singapore,126.10333333333332,2018
Financial and insurance services,Financial and insurance services,SGP,Singapore,488.0676062222222,2018
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,SGP,Singapore,226.9654125,2018
IT infrastructure and hosting,IT infrastructure and hosting,SGP,Singapore,710.3607209999999,2018
Logistics, wholesale and retail,Logistics, wholesale and retail,SGP,Singapore,1290.9351006666666,2018
Media, social platforms and marketing,Media, social platforms and marketing,SGP,Singapore,84.49332466666667,2018
Mobility and autonomous vehicles,Mobility and autonomous vehicles,SGP,Singapore,337.3589743333333,2018
Other,Other,SGP,Singapore,461.82536858333333,2018
Robots, sensors and IT hardware,Robots, sensors and IT hardware,SGP,Singapore,601.5379383333333,2018
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,SGP,Singapore,332.9425688333333,2019
Logistics, wholesale and retail,Logistics, wholesale and retail,SGP,Singapore,806.574384,2019
IT infrastructure and hosting,IT infrastructure and hosting,SGP,Singapore,232.07348016666668,2019
Media, social platforms and marketing,Media, social platforms and marketing,SGP,Singapore,151.916021,2019
Financial and insurance services,Financial and insurance services,SGP,Singapore,1039.8628100857143,2019
Digital security,Digital security,SGP,Singapore,13.2,2019
Business processes and support services,Business processes and support services,SGP,Singapore,673.3248848333333,2019
Mobility and autonomous vehicles,Mobility and autonomous vehicles,SGP,Singapore,8.882650166666666,2019
Other,Other,SGP,Singapore,457.31568863333337,2019
Robots, sensors and IT hardware,Robots, sensors and IT hardware,SGP,Singapore,221.35903316666668,2019
Logistics, wholesale and retail,Logistics, wholesale and retail,SGP,Singapore,256.08635266666664,2020
Digital security,Digital security,SGP,Singapore,196.24166666666665,2020
Financial and insurance services,Financial and insurance services,SGP,Singapore,1403.4955915,2020
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,SGP,Singapore,811.50950975,2020
IT infrastructure and hosting,IT infrastructure and hosting,SGP,Singapore,144.8307815,2020
Business processes and support services,Business processes and support services,SGP,Singapore,480.63717106666667,2020
Media, social platforms and marketing,Media, social platforms and marketing,SGP,Singapore,281.95740048333334,2020
Mobility and autonomous vehicles,Mobility and autonomous vehicles,SGP,Singapore,195.15059766666667,2020
Other,Other,SGP,Singapore,558.6264878880952,2020
Robots, sensors and IT hardware,Robots, sensors and IT hardware,SGP,Singapore,378.0473626666667,2020
Business processes and support services,Business processes and support services,SGP,Singapore,990.9885564,2021
Digital security,Digital security,SGP,Singapore,867.4960843333333,2021
Financial and insurance services,Financial and insurance services,SGP,Singapore,1068.4767381238094,2021
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,SGP,Singapore,1012.4461947857143,2021
IT infrastructure and hosting,IT infrastructure and hosting,SGP,Singapore,2153.7878775151516,2021
Logistics, wholesale and retail,Logistics, wholesale and retail,SGP,Singapore,677.733609,2021
Media, social platforms and marketing,Media, social platforms and marketing,SGP,Singapore,1082.0426798571427,2021
Mobility and autonomous vehicles,Mobility and autonomous vehicles,SGP,Singapore,2309.0943536666664,2021
Other,Other,SGP,Singapore,1918.9854976785714,2021
Robots, sensors and IT hardware,Robots, sensors and IT hardware,SGP,Singapore,333.48221766666666,2021
Logistics, wholesale and retail,Logistics, wholesale and retail,SGP,Singapore,295.7877795833333,2022
Digital security,Digital security,SGP,Singapore,467.4606666666666,2022
Financial and insurance services,Financial and insurance services,SGP,Singapore,904.485233345238,2022
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,SGP,Singapore,377.3261183333333,2022
IT infrastructure and hosting,IT infrastructure and hosting,SGP,Singapore,490.1601953333333,2022
Business processes and support services,Business processes and support services,SGP,Singapore,283.15925116666665,2022
Media, social platforms and marketing,Media, social platforms and marketing,SGP,Singapore,270.16899183333334,2022
Mobility and autonomous vehicles,Mobility and autonomous vehicles,SGP,Singapore,236.022136,2022
Other,Other,SGP,Singapore,980.2030516388888,2022
Robots, sensors and IT hardware,Robots, sensors and IT hardware,SGP,Singapore,191.55780066666668,2022
Business processes and support services,Business processes and support services,SGP,Singapore,314.6739666666667,2023
Digital security,Digital security,SGP,Singapore,37.764709833333335,2023
Financial and insurance services,Financial and insurance services,SGP,Singapore,4766.046267916667,2023
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,SGP,Singapore,465.7273290833333,2023
IT infrastructure and hosting,IT infrastructure and hosting,SGP,Singapore,507.2176338888889,2023
Logistics, wholesale and retail,Logistics, wholesale and retail,SGP,Singapore,71.67111600000001,2023
Media, social platforms and marketing,Media, social platforms and marketing,SGP,Singapore,540.6374585142856,2023
Mobility and autonomous vehicles,Mobility and autonomous vehicles,SGP,Singapore,448.33531825,2023
Other,Other,SGP,Singapore,1666.4905635,2023
Robots, sensors and IT hardware,Robots, sensors and IT hardware,SGP,Singapore,232.48930706666664,2023
Business processes and support services,Business processes and support services,SGP,Singapore,439.4455284369963,2024
Digital security,Digital security,SGP,Singapore,56.58155926190476,2024
Financial and insurance services,Financial and insurance services,SGP,Singapore,209.19821332617383,2024
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,SGP,Singapore,112.11897833333333,2024
IT infrastructure and hosting,IT infrastructure and hosting,SGP,Singapore,2969.8699783452375,2024
Logistics, wholesale and retail,Logistics, wholesale and retail,SGP,Singapore,54.163710666666674,2024
Media, social platforms and marketing,Media, social platforms and marketing,SGP,Singapore,265.38696828571426,2024
Mobility and autonomous vehicles,Mobility and autonomous vehicles,SGP,Singapore,119.63071133333334,2024
Other,Other,SGP,Singapore,357.2885335523809,2024
Robots, sensors and IT hardware,Robots, sensors and IT hardware,SGP,Singapore,197.97845516666666,2024
