Country destination,Country destination_label,Country source,Country source_label,Sum_of_deals,year
Mobility and autonomous vehicles,Mobility and autonomous vehicles,USA,United States,2888.1019377499997,2015
Other,Other,USA,United States,2176.7119973333333,2015
Robots, sensors and IT hardware,Robots, sensors and IT hardware,USA,United States,269.060651,2015
Business processes and support services,Business processes and support services,USA,United States,1263.8330036666666,2016
Digital security,Digital security,USA,United States,904.2070043333333,2016
Financial and insurance services,Financial and insurance services,USA,United States,1309.6362631666666,2016
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,USA,United States,1314.90327875,2016
IT infrastructure and hosting,IT infrastructure and hosting,USA,United States,1451.0449188333332,2016
Logistics, wholesale and retail,Logistics, wholesale and retail,USA,United States,321.31113316666665,2016
Media, social platforms and marketing,Media, social platforms and marketing,USA,United States,1269.7049925833333,2016
Mobility and autonomous vehicles,Mobility and autonomous vehicles,USA,United States,3059.6551954999995,2016
Other,Other,USA,United States,2517.5714438,2016
Robots, sensors and IT hardware,Robots, sensors and IT hardware,USA,United States,342.8616,2016
Business processes and support services,Business processes and support services,USA,United States,2456.8987374999997,2017
Digital security,Digital security,USA,United States,1171.9933445000001,2017
Financial and insurance services,Financial and insurance services,USA,United States,1015.2050748333334,2017
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,USA,United States,3186.4368474166663,2017
IT infrastructure and hosting,IT infrastructure and hosting,USA,United States,1945.577738,2017
Logistics, wholesale and retail,Logistics, wholesale and retail,USA,United States,648.5742158333334,2017
Media, social platforms and marketing,Media, social platforms and marketing,USA,United States,4589.503220964286,2017
Mobility and autonomous vehicles,Mobility and autonomous vehicles,USA,United States,4724.286412190476,2017
Other,Other,USA,United States,4249.797779500001,2017
Robots, sensors and IT hardware,Robots, sensors and IT hardware,USA,United States,847.0197734999999,2017
Other,Other,USA,United States,6434.520200142857,2018
Robots, sensors and IT hardware,Robots, sensors and IT hardware,USA,United States,1749.8125992619048,2018
Mobility and autonomous vehicles,Mobility and autonomous vehicles,USA,United States,2193.1025753333333,2018
Media, social platforms and marketing,Media, social platforms and marketing,USA,United States,4284.659097,2018
Logistics, wholesale and retail,Logistics, wholesale and retail,USA,United States,1350.9226595833334,2018
IT infrastructure and hosting,IT infrastructure and hosting,USA,United States,2850.3415680000003,2018
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,USA,United States,2907.2022151666665,2018
Financial and insurance services,Financial and insurance services,USA,United States,3008.414872611111,2018
Digital security,Digital security,USA,United States,1669.8346055,2018
Business processes and support services,Business processes and support services,USA,United States,3027.4067397500003,2018
Other,Other,USA,United States,8674.6072971,2019
Mobility and autonomous vehicles,Mobility and autonomous vehicles,USA,United States,4821.684041166667,2019
Media, social platforms and marketing,Media, social platforms and marketing,USA,United States,5130.200247983334,2019
Logistics, wholesale and retail,Logistics, wholesale and retail,USA,United States,1303.1995446666665,2019
IT infrastructure and hosting,IT infrastructure and hosting,USA,United States,2849.922167,2019
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,USA,United States,2950.6512077499997,2019
Financial and insurance services,Financial and insurance services,USA,United States,3941.843690166667,2019
Digital security,Digital security,USA,United States,2409.898470166667,2019
Robots, sensors and IT hardware,Robots, sensors and IT hardware,USA,United States,1071.1003195,2019
Business processes and support services,Business processes and support services,USA,United States,5079.155150059524,2019
Business processes and support services,Business processes and support services,USA,United States,3479.76868585,2020
Digital security,Digital security,USA,United States,2510.203157,2020
Financial and insurance services,Financial and insurance services,USA,United States,3741.74083225,2020
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,USA,United States,6424.979715166666,2020
IT infrastructure and hosting,IT infrastructure and hosting,USA,United States,3080.9202079999995,2020
Logistics, wholesale and retail,Logistics, wholesale and retail,USA,United States,1150.9734956666666,2020
