contains_ai,Country/territory,Country/territory_label,impact_level,l0_concept,pub_type,publications,year
AI related,ALL,-- All countries --,All works,Medicine,All publication types,1727,2023
AI related,ALL,-- All countries --,All works,Medicine,All publication types,1523,2024
AI related,ALL,-- All countries --,All works,Medicine,All publication types,882,2025
AI related,ALL,-- All countries --,All works,Philosophy,All publication types,74,2000
AI related,ALL,-- All countries --,All works,Philosophy,All publication types,90,2001
AI related,ALL,-- All countries --,All works,Philosophy,All publication types,128,2002
AI related,ALL,-- All countries --,All works,Philosophy,All publication types,132,2003
AI related,ALL,-- All countries --,All works,Philosophy,All publication types,158,2004
AI related,ALL,-- All countries --,All works,Philosophy,All publication types,200,2005
AI related,ALL,-- All countries --,All works,Philosophy,All publication types,250,2006
AI related,ALL,-- All countries --,All works,Philosophy,All publication types,284,2007
AI related,ALL,-- All countries --,All works,Philosophy,All publication types,267,2008
AI related,ALL,-- All countries --,All works,Philosophy,All publication types,291,2009
AI related,ALL,-- All countries --,All works,Philosophy,All publication types,330,2010
AI related,ALL,-- All countries --,All works,Philosophy,All publication types,353,2011
AI related,ALL,-- All countries --,All works,Philosophy,All publication types,322,2012
AI related,ALL,-- All countries --,All works,Philosophy,All publication types,282,2013
AI related,ALL,-- All countries --,All works,Philosophy,All publication types,321,2014
AI related,ALL,-- All countries --,All works,Philosophy,All publication types,356,2015
AI related,ALL,-- All countries --,All works,Philosophy,All publication types,316,2016
AI related,ALL,-- All countries --,All works,Philosophy,All publication types,297,2017
AI related,ALL,-- All countries --,All works,Philosophy,All publication types,430,2018
AI related,ALL,-- All countries --,All works,Philosophy,All publication types,453,2019
AI related,ALL,-- All countries --,All works,Philosophy,All publication types,405,2020
AI related,ALL,-- All countries --,All works,Philosophy,All publication types,531,2021
AI related,ALL,-- All countries --,All works,Philosophy,All publication types,437,2022
AI related,ALL,-- All countries --,All works,Philosophy,All publication types,450,2023
AI related,ALL,-- All countries --,All works,Philosophy,All publication types,558,2024
AI related,ALL,-- All countries --,All works,Philosophy,All publication types,248,2025
AI related,ALL,-- All countries --,All works,Geology,All publication types,49,2000
AI related,ALL,-- All countries --,All works,Geology,All publication types,53,2001
AI related,ALL,-- All countries --,All works,Geology,All publication types,107,2002
AI related,ALL,-- All countries --,All works,Geology,All publication types,106,2003
AI related,ALL,-- All countries --,All works,Geology,All publication types,88,2004
AI related,ALL,-- All countries --,All works,Geology,All publication types,129,2005
AI related,ALL,-- All countries --,All works,Geology,All publication types,126,2006
AI related,ALL,-- All countries --,All works,Geology,All publication types,167,2007
AI related,ALL,-- All countries --,All works,Geology,All publication types,198,2008
AI related,ALL,-- All countries --,All works,Geology,All publication types,205,2009
AI related,ALL,-- All countries --,All works,Geology,All publication types,214,2010
AI related,ALL,-- All countries --,All works,Geology,All publication types,260,2011
AI related,ALL,-- All countries --,All works,Geology,All publication types,198,2012
AI related,ALL,-- All countries --,All works,Geology,All publication types,193,2013
AI related,ALL,-- All countries --,All works,Geology,All publication types,167,2014
AI related,ALL,-- All countries --,All works,Geology,All publication types,187,2015
AI related,ALL,-- All countries --,All works,Geology,All publication types,173,2016
AI related,ALL,-- All countries --,All works,Geology,All publication types,174,2017
AI related,ALL,-- All countries --,All works,Geology,All publication types,188,2018
AI related,ALL,-- All countries --,All works,Geology,All publication types,283,2019
AI related,ALL,-- All countries --,All works,Geology,All publication types,303,2020
AI related,ALL,-- All countries --,All works,Geology,All publication types,365,2021
AI related,ALL,-- All countries --,All works,Geology,All publication types,395,2022
AI related,ALL,-- All countries --,All works,Geology,All publication types,415,2023
