Country destination,Country destination_label,Country source,Country source_label,Sum_of_deals,year
ISR,Israel,CHN,China (People's Republic of),70,2017
CHN,China (People's Republic of),CHN,China (People's Republic of),17318,2017
EU27,EU27,CHN,China (People's Republic of),2,2017
GBR,United Kingdom,CHN,China (People's Republic of),156,2017
IND,India,CHN,China (People's Republic of),54,2017
CAN,Canada,CHN,China (People's Republic of),33,2017
KOR,Korea,CHN,China (People's Republic of),4,2017
USA,United States,CHN,China (People's Republic of),1272,2017
CAN,Canada,CHN,China (People's Republic of),23,2018
CHN,China (People's Republic of),CHN,China (People's Republic of),22748,2018
DEU,Germany,CHN,China (People's Republic of),43,2018
EU27,EU27,CHN,China (People's Republic of),50,2018
FRA,France,CHN,China (People's Republic of),1,2018
GBR,United Kingdom,CHN,China (People's Republic of),101,2018
IND,India,CHN,China (People's Republic of),31,2018
ISR,Israel,CHN,China (People's Republic of),50,2018
KOR,Korea,CHN,China (People's Republic of),30,2018
USA,United States,CHN,China (People's Republic of),1626,2018
KOR,Korea,CHN,China (People's Republic of),53,2019
ISR,Israel,CHN,China (People's Republic of),86,2019
CAN,Canada,CHN,China (People's Republic of),11,2019
CHN,China (People's Republic of),CHN,China (People's Republic of),19677,2019
DEU,Germany,CHN,China (People's Republic of),15,2019
EU27,EU27,CHN,China (People's Republic of),50,2019
FRA,France,CHN,China (People's Republic of),5,2019
GBR,United Kingdom,CHN,China (People's Republic of),146,2019
USA,United States,CHN,China (People's Republic of),793,2019
IND,India,CHN,China (People's Republic of),46,2019
IND,India,CHN,China (People's Republic of),55,2020
ISR,Israel,CHN,China (People's Republic of),232,2020
CAN,Canada,CHN,China (People's Republic of),99,2020
CHN,China (People's Republic of),CHN,China (People's Republic of),23531,2020
DEU,Germany,CHN,China (People's Republic of),10,2020
EU27,EU27,CHN,China (People's Republic of),37,2020
FRA,France,CHN,China (People's Republic of),10,2020
GBR,United Kingdom,CHN,China (People's Republic of),66,2020
USA,United States,CHN,China (People's Republic of),1127,2020
CAN,Canada,CHN,China (People's Republic of),87,2021
CHN,China (People's Republic of),CHN,China (People's Republic of),36200,2021
DEU,Germany,CHN,China (People's Republic of),284,2021
EU27,EU27,CHN,China (People's Republic of),434,2021
FRA,France,CHN,China (People's Republic of),14,2021
GBR,United Kingdom,CHN,China (People's Republic of),331,2021
IND,India,CHN,China (People's Republic of),221,2021
ISR,Israel,CHN,China (People's Republic of),39,2021
KOR,Korea,CHN,China (People's Republic of),68,2021
USA,United States,CHN,China (People's Republic of),2228,2021
GBR,United Kingdom,CHN,China (People's Republic of),193,2022
CHN,China (People's Republic of),CHN,China (People's Republic of),19633,2022
DEU,Germany,CHN,China (People's Republic of),6,2022
EU27,EU27,CHN,China (People's Republic of),88,2022
FRA,France,CHN,China (People's Republic of),30,2022
CAN,Canada,CHN,China (People's Republic of),40,2022
IND,India,CHN,China (People's Republic of),42,2022
ISR,Israel,CHN,China (People's Republic of),101,2022
KOR,Korea,CHN,China (People's Republic of),54,2022
USA,United States,CHN,China (People's Republic of),1217,2022
CAN,Canada,CHN,China (People's Republic of),23,2023
CHN,China (People's Republic of),CHN,China (People's Republic of),13294,2023
DEU,Germany,CHN,China (People's Republic of),19,2023
EU27,EU27,CHN,China (People's Republic of),63,2023
FRA,France,CHN,China (People's Republic of),23,2023
GBR,United Kingdom,CHN,China (People's Republic of),61,2023
IND,India,CHN,China (People's Republic of),36,2023
ISR,Israel,CHN,China (People's Republic of),30,2023
KOR,Korea,CHN,China (People's Republic of),41,2023
USA,United States,CHN,China (People's Republic of),646,2023
CAN,Canada,CHN,China (People's Republic of),7,2024
CHN,China (People's Republic of),CHN,China (People's Republic of),13543,2024
DEU,Germany,CHN,China (People's Republic of),11,2024
EU27,EU27,CHN,China (People's Republic of),28,2024
FRA,France,CHN,China (People's Republic of),2,2024
GBR,United Kingdom,CHN,China (People's Republic of),35,2024
IND,India,CHN,China (People's Republic of),23,2024
ISR,Israel,CHN,China (People's Republic of),22,2024
KOR,Korea,CHN,China (People's Republic of),85,2024
USA,United States,CHN,China (People's Republic of),789,2024
CAN,Canada,CHN,China (People's Republic of),14,2025
CHN,China (People's Republic of),CHN,China (People's Republic of),7371,2025
DEU,Germany,CHN,China (People's Republic of),42,2025
EU27,EU27,CHN,China (People's Republic of),54,2025
GBR,United Kingdom,CHN,China (People's Republic of),5018,2025
IND,India,CHN,China (People's Republic of),6,2025
ISR,Israel,CHN,China (People's Republic of),33,2025
